year,state,county_name,county_fips,party,candidatevotes,totalvotes
2020,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,3028885,4264365
2016,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,2464364,3434308
2008,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,2295853,3318248
2012,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,2216903,3181067
2004,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,1907736,3021647
2020,ILLINOIS,COOK,17031,DEMOCRAT,1725973,2321486
2000,CALIFORNIA,LOS ANGELES,6037,DEMOCRAT,1710505,2695154
2008,ILLINOIS,COOK,17031,DEMOCRAT,1629024,2137466
2016,ILLINOIS,COOK,17031,DEMOCRAT,1611946,2158615
2012,ILLINOIS,COOK,17031,DEMOCRAT,1488537,2011597
2004,ILLINOIS,COOK,17031,DEMOCRAT,1439724,2049434
2000,ILLINOIS,COOK,17031,DEMOCRAT,1280547,1865907
2020,ARIZONA,MARICOPA,4013,DEMOCRAT,978457,2068144
2020,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,964650,1602143
2020,TEXAS,HARRIS,48201,DEMOCRAT,918193,1640818
2020,WASHINGTON,KING,53033,DEMOCRAT,907310,1210507
2020,CALIFORNIA,ORANGE,6059,DEMOCRAT,814009,1522113
2016,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,735476,1306400
2016,WASHINGTON,KING,53033,DEMOCRAT,718322,998499
2016,TEXAS,HARRIS,48201,DEMOCRAT,707914,1312112
2020,NEW YORK,KINGS,36047,DEMOCRAT,703310,920380
2016,ARIZONA,MARICOPA,4013,DEMOCRAT,702907,1567834
2012,WASHINGTON,KING,53033,DEMOCRAT,668004,967154
2008,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,666581,1231047
2008,MICHIGAN,WAYNE,26163,DEMOCRAT,660085,890326
2008,WASHINGTON,KING,53033,DEMOCRAT,648230,922032
2016,NEW YORK,KINGS,36047,DEMOCRAT,640553,805605
2012,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,626957,1192282
2016,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,624146,980204
2020,FLORIDA,BROWARD,12011,DEMOCRAT,618752,957672
2020,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,617967,850741
2020,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,617864,1156816
2020,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,617659,770070
2020,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,617196,869347
2016,CALIFORNIA,ORANGE,6059,DEMOCRAT,609961,1197521
2020,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,603790,741377
2008,NEW YORK,KINGS,36047,DEMOCRAT,603525,759671
2020,NEW YORK,NEW YORK,36061,DEMOCRAT,603040,701405
2012,ARIZONA,MARICOPA,4013,DEMOCRAT,602288,1376558
2008,ARIZONA,MARICOPA,4013,DEMOCRAT,602166,1364962
2004,MICHIGAN,WAYNE,26163,DEMOCRAT,600047,864728
2020,TEXAS,DALLAS,48113,DEMOCRAT,598576,919504
2020,MICHIGAN,WAYNE,26163,DEMOCRAT,597170,872469
2008,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,595980,717155
2012,MICHIGAN,WAYNE,26163,DEMOCRAT,595846,815825
2008,TEXAS,HARRIS,48201,DEMOCRAT,590982,1171472
2012,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,588806,690327
2012,TEXAS,HARRIS,48201,DEMOCRAT,587044,1188585
2016,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,584025,707631
2004,WASHINGTON,KING,53033,DEMOCRAT,580378,893534
2012,NEW YORK,KINGS,36047,DEMOCRAT,580225,730534
2016,NEW YORK,NEW YORK,36061,DEMOCRAT,579013,668939
2008,NEW YORK,NEW YORK,36061,DEMOCRAT,572126,667271
2020,NEW YORK,QUEENS,36081,DEMOCRAT,569038,794498
2016,FLORIDA,BROWARD,12011,DEMOCRAT,553320,831951
2008,CALIFORNIA,ORANGE,6059,DEMOCRAT,549558,1153687
2004,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,542205,674069
2012,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,541440,878314
2020,MINNESOTA,HENNEPIN,27053,DEMOCRAT,532623,755969
2000,MICHIGAN,WAYNE,26163,DEMOCRAT,530414,768627
2020,CALIFORNIA,RIVERSIDE,6065,DEMOCRAT,528340,997156
2004,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,526437,1133584
2020,NEVADA,CLARK,32003,DEMOCRAT,521777,972308
2016,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,520360,784034
2016,MICHIGAN,WAYNE,26163,DEMOCRAT,519444,777838
2016,NEW YORK,QUEENS,36081,DEMOCRAT,517220,686393
2016,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,514842,654266
2012,CALIFORNIA,ORANGE,6059,DEMOCRAT,512440,1122664
2016,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,511684,703709
2004,NEW YORK,NEW YORK,36061,DEMOCRAT,509841,641747
2012,FLORIDA,BROWARD,12011,DEMOCRAT,508312,756422
2004,ARIZONA,MARICOPA,4013,DEMOCRAT,504849,1192751
2008,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,499831,863486
2000,NEW YORK,KINGS,36047,DEMOCRAT,497468,617105
2004,NEW YORK,KINGS,36047,DEMOCRAT,494165,687780
2008,FLORIDA,BROWARD,12011,DEMOCRAT,492640,733899
2008,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,489106,621029
2012,NEW YORK,NEW YORK,36061,DEMOCRAT,486172,597227
2000,WASHINGTON,KING,53033,DEMOCRAT,476700,794078
2004,TEXAS,HARRIS,48201,DEMOCRAT,475865,1067968
2012,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,471804,754170
2012,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,469684,595642
2008,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,464484,726031
2008,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,462241,665589
2012,NEW YORK,QUEENS,36081,DEMOCRAT,461391,595073
2016,TEXAS,DALLAS,48113,DEMOCRAT,461080,758973
2008,OHIO,CUYAHOGA,39035,DEMOCRAT,458204,665114
2020,CALIFORNIA,SAN BERNARDINO,6071,DEMOCRAT,455859,841130
2004,FLORIDA,BROWARD,12011,DEMOCRAT,453873,706872
2012,CALIFORNIA,SANTA CLARA,6085,DEMOCRAT,450818,643091
2000,NEW YORK,NEW YORK,36061,DEMOCRAT,449300,563232
2000,PENNSYLVANIA,PHILADELPHIA,42101,DEMOCRAT,449182,561180
2004,OHIO,CUYAHOGA,39035,DEMOCRAT,448486,673766
2020,TEXAS,BEXAR,48029,DEMOCRAT,448452,770818
2008,NEW YORK,QUEENS,36081,DEMOCRAT,447906,597598
2012,OHIO,CUYAHOGA,39035,DEMOCRAT,447232,644281
2004,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,440862,688960
2020,CALIFORNIA,SACRAMENTO,6067,DEMOCRAT,440808,718440
2000,CALIFORNIA,SAN DIEGO,6073,DEMOCRAT,437666,958634
2020,TEXAS,TRAVIS,48453,DEMOCRAT,435860,608575
2020,MICHIGAN,OAKLAND,26125,DEMOCRAT,434148,770351
2020,FLORIDA,PALM BEACH,12099,DEMOCRAT,433572,773158
2016,MINNESOTA,HENNEPIN,27053,DEMOCRAT,429288,679977
2020,PENNSYLVANIA,ALLEGHENY,42003,DEMOCRAT,429065,719733
2012,MINNESOTA,HENNEPIN,27053,DEMOCRAT,423982,680065
2008,TEXAS,DALLAS,48113,DEMOCRAT,422989,738463
2004,NEW YORK,QUEENS,36081,DEMOCRAT,422609,605062
2004,CALIFORNIA,ALAMEDA,6001,DEMOCRAT,422585,560742
2008,MINNESOTA,HENNEPIN,27053,DEMOCRAT,420958,663780
2004,CALIFORNIA,ORANGE,6059,DEMOCRAT,419239,1073296
2000,TEXAS,HARRIS,48201,DEMOCRAT,418267,974822
2000,NEW YORK,QUEENS,36081,DEMOCRAT,416967,555930
2020,CALIFORNIA,CONTRA COSTA,6013,DEMOCRAT,416386,581316
2020,OHIO,CUYAHOGA,39035,DEMOCRAT,416176,625670
2020,TEXAS,TARRANT,48439,DEMOCRAT,411567,834697
2004,FLORIDA,MIAMI-DADE,12086,DEMOCRAT,409732,774726
2020,OHIO,FRANKLIN,39049,DEMOCRAT,409144,630577
2012,TEXAS,DALLAS,48113,DEMOCRAT,405571,710117
2000,MASSACHUSETTS,MIDDLESEX,25017,DEMOCRAT,404043,657048
